,日期,时间,图片,天气,温度℃,湿度,风力,风级,降水量mm,体感温度℃,云量
0,2019-01-01,白天,,局部多云,0,19%,清风,5,0,-6,5%
1,2019-01-01,夜间,,局部多云,-6,28%,清风,5,0,-8,5%
2,2019-01-02,白天,,局部多云,1,24%,和风,4,0,-4,24%
3,2019-01-02,夜间,,阴天,-3,35%,微风,3,0,-5,54%
4,2019-01-03,白天,,局部多云,3,29%,和风,4,0,-1,11%
5,2019-01-03,夜间,,局部多云,-4,33%,和风,4,0,-5,33%
6,2019-01-04,白天,,局部多云,2,20%,清风,5,0,-3,8%
7,2019-01-04,夜间,,局部多云,-5,15%,和风,4,0,-6,6%
8,2019-01-05,白天,,阴天,0,13%,和风,4,0,-4,70%
9,2019-01-05,夜间,,阴天,-2,32%,轻风,2,0,-3,46%
10,2019-01-06,白天,,局部多云,3,20%,微风,3,0,-1,7%
11,2019-01-06,夜间,,多云,-4,18%,和风,4,0,-5,25%
12,2019-01-07,白天,,阴天,2,20%,清风,5,0,-3,61%
13,2019-01-07,夜间,,局部多云,-5,22%,劲风,7,0,-7,3%
14,2019-01-08,白天,,局部多云,0,18%,劲风,7,0,-5,1%
15,2019-01-08,夜间,,阴天,-5,18%,微风,3,0,-5,32%
16,2019-01-09,白天,,阴天,2,14%,清风,5,0,-4,28%
17,2019-01-09,夜间,,局部多云,-3,19%,清风,5,0,-6,5%
18,2019-01-10,白天,,局部多云,5,17%,清风,5,0,-1,5%
19,2019-01-10,夜间,,阴天,-1,23%,微风,3,0,-2,64%
20,2019-01-11,白天,,局部多云,7,22%,微风,3,0,3,10%
21,2019-01-11,夜间,,多云,-2,39%,和风,4,0,-1,6%
22,2019-01-12,白天,,多云,8,35%,清风,5,0,3,17%
23,2019-01-12,夜间,,晴朗,0,37%,清风,5,0,-1,-
24,2019-01-13,白天,,晴朗,7,20%,强风,6,0,2,-
25,2019-01-13,夜间,,阴天,-1,29%,轻风,2,0,1,51%
26,2019-01-14,白天,,局部多云,7,26%,清风,5,0,2,4%
27,2019-01-14,夜间,,局部多云,-6,20%,狂风,10,0,-8,7%
28,2019-01-15,白天,,阴天,-3,11%,大风,8,0,-10,10%
29,2019-01-15,夜间,,阴天,-6,10%,强风,6,0,-10,75%
30,2019-01-16,白天,,局部多云,2,8%,劲风,7,0,-5,3%
31,2019-01-16,夜间,,局部多云,-3,10%,清风,5,0,-6,4%
32,2019-01-17,白天,,局部多云,7,7%,和风,4,0,1,10%
33,2019-01-17,夜间,,阴天,-1,13%,和风,4,0,-3,42%
34,2019-01-18,白天,,多云,5,17%,微风,3,0,2,58%
35,2019-01-18,夜间,,多云,-1,18%,清风,5,0,-3,56%
36,2019-01-19,白天,,阴天,4,19%,和风,4,0,0,90%
37,2019-01-19,夜间,,阴天,-2,27%,强风,6,0,-5,31%
38,2019-01-20,白天,,晴朗,4,19%,劲风,7,0,-2,-
